customer_id,age,gender,tenure_months,subscription_plan,monthly_charges,total_charges,contract_type,payment_method,login_frequency_monthly,features_used,data_consumption_gb,engagement_score,days_since_last_activity,billing_issues_count,plan_changes,support_tickets,avg_resolution_hours,satisfaction_score,nps_score,churned,monthly_value_ratio,charge_per_feature,customer_lifetime_value,value_tier,engagement_velocity,login_intensity,data_per_login,activity_recency_category,features_utilization_rate,data_per_tenure,support_rate_annual,resolution_burden,satisfaction_gap,billing_risk_flag,complaint_ratio,support_satisfaction_ratio,nps_category,plan_tenure_mismatch,usage_plan_mismatch,payment_stability,nps_satisfaction_alignment,contract_value_risk,lifecycle_stage,contract_tenure_ratio,tenure_category,engagement_growth_rate,tenure_stability
C001,34,Male,24,Premium,79.99,1919.76,Annual,Credit Card,22,8,45.2,100.0,2,0,1,1,4.5,4.2,8.0,0,79.99,9.99875,1919.76,High,4.166666666666667,0.7333333333333333,2.0545454545454547,Active,0.8,1.8833333333333335,0.5,4.5,0.7999999999999998,0,0.041666666666666664,2.1,Passive,0,0,1.0,0.20000000000000018,0,Early,2.0,1-2yr,4.0,0.058823529411764705
C002,45,Female,6,Basic,29.99,179.94,Monthly,Bank Transfer,5,2,8.3,25.0,15,2,0,4,48.2,2.1,3.0,1,29.99,14.995,0.0,Low,4.166666666666667,0.16666666666666666,1.6600000000000001,At_Risk,0.2,1.3833333333333335,8.0,192.8,2.9,1,0.3333333333333333,0.42000000000000004,Detractor,0,0,0.3333333333333333,0.6000000000000001,0,New,6.0,0-1yr,3.5714285714285716,0.011111111111111112
C003,28,Male,36,Premium,79.99,2879.64,Annual,Credit Card,28,10,62.1,92.0,1,0,2,0,0.0,4.8,9.0,0,79.99,7.999,2879.64,High,2.5555555555555554,0.9333333333333333,2.217857142857143,Active,1.0,1.725,0.0,0.0,0.20000000000000018,0,0.05555555555555555,4.8,Promoter,0,0,1.0,0.2999999999999998,0,Mature,3.0,2-3yr,2.4864864864864864,0.10714285714285714
C004,52,Female,3,Basic,29.99,89.97,Monthly,Credit Card,3,1,4.2,18.0,22,1,0,3,36.5,2.5,2.0,1,29.99,29.99,0.0,Low,6.0,0.1,1.4000000000000001,At_Risk,0.1,1.4000000000000001,12.0,109.5,2.5,1,0.3333333333333333,0.625,Detractor,0,0,0.5,1.5,0,New,3.0,0-1yr,4.5,0.004807692307692308
C005,31,Male,1,Standard,49.99,899.82,Monthly,PayPal,15,5,28.4,65.0,5,0,0,2,12.3,3.8,7.0,0,899.82,9.998000000000001,899.82,Medium,65.0,0.5,1.8933333333333333,Active,0.5,28.4,24.0,24.6,1.2000000000000002,0,0.0,1.2666666666666666,Passive,0,0,1.0,0.2999999999999998,0,New,1.0,0-1yr,32.5,0.002688172043010753
C006,67,Male,1,Premium,79.99,3839.52,Annual,Bank Transfer,20,7,38.9,71.0,3,0,0,1,6.2,4.0,7.0,0,3839.52,11.427142857142856,3839.52,Premium,71.0,0.6666666666666666,1.9449999999999998,Active,0.7,38.9,12.0,6.2,1.0,0,0.0,2.0,Passive,1,0,1.0,0.5,0,New,0.08333333333333333,0-1yr,35.5,0.0012437810945273632
C007,23,Female,2,Basic,29.99,59.98,Monthly,Credit Card,2,1,28.4,12.0,28,1,0,5,52.1,1.8,1.0,1,29.99,29.99,0.0,Low,6.0,0.06666666666666667,14.2,At_Risk,0.1,14.2,30.0,260.5,3.2,1,0.5,0.3,Detractor,0,0,0.5,1.3,0,New,2.0,0-1yr,4.0,0.007246376811594203
C008,41,Male,30,Standard,49.99,1499.7,Annual,Credit Card,18,6,35.2,72.0,4,0,1,1,8.4,4.1,8.0,0,49.99,8.331666666666667,1499.7,Medium,2.4,0.6,1.9555555555555557,Active,0.6,1.1733333333333333,0.4,8.4,0.9000000000000004,0,0.03333333333333333,2.05,Passive,0,0,1.0,0.09999999999999964,0,Mature,2.5,2-3yr,2.3225806451612905,0.06097560975609756
C009,38,Female,12,Premium,79.99,959.88,Monthly,PayPal,8,3,15.6,35.0,18,3,1,6,42.3,2.3,3.0,1,79.99,26.66333333333333,0.0,Medium,2.9166666666666665,0.26666666666666666,1.95,At_Risk,0.3,1.3,6.0,253.79999999999998,2.7,1,0.3333333333333333,0.32857142857142857,Detractor,0,1,0.25,0.7999999999999998,1,Trial_End,12.0,0-1yr,2.6923076923076925,0.02631578947368421
C010,29,Male,24,Standard,49.99,899.82,Annual,Credit Card,20,6,32.8,75.0,2,0,0,0,0.0,4.5,9.0,0,37.4925,8.331666666666667,899.82,Medium,3.125,0.6666666666666666,1.64,Active,0.6,1.3666666666666665,0.0,0.0,0.5,0,0.0,4.5,Promoter,0,0,1.0,0.0,0,Early,2.0,1-2yr,3.0,0.06896551724137931
C011,55,Female,4,Basic,29.99,899.82,Monthly,Bank Transfer,4,2,5.8,58.0,20,2,0,4,38.7,5.0,2.0,1,224.955,14.995,0.0,Medium,14.5,0.13333333333333333,1.45,At_Risk,0.2,1.45,12.0,154.8,0.0,1,0.5,1.0,Detractor,0,0,0.3333333333333333,4.0,0,New,4.0,0-1yr,11.6,0.006060606060606061
C012,33,Male,42,Premium,79.99,3359.58,Annual,Credit Card,25,9,55.3,88.0,1,0,1,1,5.1,4.6,9.0,0,79.99,8.887777777777778,3359.58,Premium,2.0952380952380953,0.8333333333333334,2.2119999999999997,Active,0.9,1.3166666666666667,0.2857142857142857,5.1,0.40000000000000036,0,0.023809523809523808,2.3,Promoter,0,0,1.0,0.09999999999999964,0,Mature,3.5,3yr+,2.046511627906977,0.10606060606060606
C013,47,Female,8,Standard,49.99,899.82,Monthly,Credit Card,6,3,12.4,32.0,16,1,0,3,28.9,2.9,4.0,1,112.4775,16.663333333333334,0.0,Medium,4.0,0.2,2.066666666666667,At_Risk,0.3,1.55,4.5,86.69999999999999,2.1,1,0.125,0.725,Detractor,0,0,0.5,0.8999999999999999,0,Trial_End,8.0,0-1yr,3.5555555555555554,0.014184397163120567
C014,26,Male,15,Basic,49.99,449.85,Monthly,PayPal,12,4,18.6,58.0,6,0,0,1,10.2,3.6,6.0,0,29.990000000000002,12.4975,449.85,Low,3.8666666666666667,0.4,1.55,Active,0.4,1.24,0.8,10.2,1.4,0,0.0,1.8,Detractor,0,0,1.0,0.6000000000000001,0,Early,15.0,1-2yr,3.625,0.04807692307692308
C015,62,Female,60,Premium,49.99,899.82,Annual,Bank Transfer,19,8,42.1,76.0,2,0,2,2,7.8,4.3,8.0,0,14.997000000000002,6.24875,899.82,Medium,1.2666666666666666,0.6333333333333333,2.2157894736842105,Active,0.8,0.7016666666666667,0.4,15.6,0.7000000000000002,0,0.03333333333333333,1.4333333333333333,Passive,0,0,1.0,0.2999999999999998,0,Veteran,5.0,3yr+,1.2459016393442623,0.08064516129032258
C016,38,Male,5,Premium,49.99,249.95,Monthly,Credit Card,4,2,8.9,28.0,19,2,1,5,45.6,2.4,3.0,1,49.989999999999995,24.995,0.0,Low,5.6,0.13333333333333333,2.225,At_Risk,0.2,1.78,12.0,228.0,2.6,1,0.6,0.39999999999999997,Detractor,0,0,0.3333333333333333,0.8999999999999999,0,New,5.0,0-1yr,4.666666666666667,0.010964912280701754
C017,44,Female,28,Premium,79.99,2239.72,Annual,Credit Card,24,9,52.4,85.0,1,0,0,0,0.0,4.7,9.0,0,79.99,8.887777777777778,2239.72,High,3.0357142857142856,0.8,2.183333333333333,Active,0.9,1.8714285714285714,0.0,0.0,0.2999999999999998,0,0.0,4.7,Promoter,0,0,1.0,0.20000000000000018,0,Mature,2.3333333333333335,2-3yr,2.9310344827586206,0.05303030303030303
C018,30,Male,3,Basic,49.99,89.97,Monthly,PayPal,3,1,3.5,58.0,25,1,0,4,40.1,2.0,2.0,1,29.99,49.99,0.0,Low,19.333333333333332,0.1,1.1666666666666667,At_Risk,0.1,1.1666666666666667,16.0,160.4,3.0,1,0.3333333333333333,0.4,Detractor,0,0,0.5,1.0,0,New,3.0,0-1yr,14.5,0.008333333333333333
C019,58,Female,36,Standard,49.99,1799.64,Annual,Bank Transfer,16,5,29.8,68.0,4,0,1,2,11.5,3.9,7.0,0,49.99,9.998000000000001,1799.64,High,1.8888888888888888,0.5333333333333333,1.8625,Active,0.5,0.8277777777777778,0.6666666666666666,23.0,1.1,0,0.027777777777777776,1.3,Passive,0,0,1.0,0.3999999999999999,0,Mature,3.0,2-3yr,1.837837837837838,0.05172413793103448
C020,38,Female,9,Premium,79.99,719.91,Monthly,Credit Card,10,4,22.3,45.0,12,2,0,3,32.4,3.75,5.0,1,79.99,19.9975,0.0,Medium,5.0,0.3333333333333333,2.23,Moderate,0.4,2.477777777777778,4.0,97.19999999999999,1.25,1,0.2222222222222222,0.9375,Detractor,0,0,0.3333333333333333,1.25,1,Trial_End,9.0,0-1yr,4.5,0.019736842105263157
C021,49,Female,24,Standard,49.99,1199.76,Annual,Credit Card,17,6,31.5,70.0,3,0,0,1,9.3,4.0,7.0,0,49.99,8.331666666666667,1199.76,Medium,2.9166666666666665,0.5666666666666667,1.8529411764705883,Active,0.6,1.3125,0.5,9.3,1.0,0,0.0,2.0,Passive,0,0,1.0,0.5,0,Early,2.0,1-2yr,2.8,0.04081632653061224
